Word,Status,FileName
A,ok,a01-000u-00-00
MOVE,ok,a01-000u-00-01
to,ok,a01-000u-00-02
stop,ok,a01-000u-00-03
Mr.,ok,a01-000u-00-04
Gaitskell,ok,a01-000u-00-05
from,ok,a01-000u-00-06
nominating,ok,a01-000u-01-00
any,ok,a01-000u-01-01
more,ok,a01-000u-01-02
Labour,ok,a01-000u-01-03
life,ok,a01-000u-01-04
Peers,ok,a01-000u-01-05
is,ok,a01-000u-02-00
to,ok,a01-000u-02-01
be,ok,a01-000u-02-02
made,ok,a01-000u-02-03
at,ok,a01-000u-02-04
a,ok,a01-000u-02-05
meeting,ok,a01-000u-02-06
of,ok,a01-000u-02-07
Labour,ok,a01-000u-02-08
put,ok,a01-000u-04-00
down,ok,a01-000u-04-01
a,ok,a01-000u-04-02
resolution,ok,a01-000u-04-03
on,ok,a01-000u-04-04
the,ok,a01-000u-04-05
subject,ok,a01-000u-04-06
Griffiths,ok,a01-000u-06-00
",",ok,a01-000u-06-01
P,ok,a01-000u-06-02
for,ok,a01-000u-06-03
Manchester,ok,a01-000u-06-04
Exchange,ok,a01-000u-06-05
.,ok,a01-000u-06-06
A,ok,a01-000x-00-00
MOVE,ok,a01-000x-00-01
to,ok,a01-000x-00-02
stop,ok,a01-000x-00-03
Mr.,ok,a01-000x-00-04
Gaitskell,ok,a01-000x-00-05
from,ok,a01-000x-00-06
nominating,ok,a01-000x-00-07
any,ok,a01-000x-01-00
more,ok,a01-000x-01-01
Labour,ok,a01-000x-01-02
life,ok,a01-000x-01-03
Peers,ok,a01-000x-01-04
is,ok,a01-000x-01-05
to,ok,a01-000x-01-06
be,ok,a01-000x-01-07
made,ok,a01-000x-01-08
at,ok,a01-000x-01-09
a,ok,a01-000x-01-10
meeting,ok,a01-000x-02-00
of,ok,a01-000x-02-01
Labour,ok,a01-000x-02-02
Ps,ok,a01-000x-02-03
tomorrow,ok,a01-000x-02-04
.,ok,a01-000x-02-05
Mr.,ok,a01-000x-02-06
Michael,ok,a01-000x-02-07
Foot,ok,a01-000x-03-00
has,ok,a01-000x-03-01
put,ok,a01-000x-03-02
down,ok,a01-000x-03-03
a,ok,a01-000x-03-04
resolution,ok,a01-000x-03-05
on,ok,a01-000x-03-06
the,ok,a01-000x-03-07
subject,ok,a01-000x-03-08
and,ok,a01-000x-04-00
he,ok,a01-000x-04-01
is,ok,a01-000x-04-02
to,ok,a01-000x-04-03
be,ok,a01-000x-04-04
backed,ok,a01-000x-04-05
by,ok,a01-000x-04-06
Mr.,ok,a01-000x-04-07
